sale_date,name,token_id,price_gun,item_url,seller,buyer,transaction_hash
2025-07-25 01:11:28,Alpha Ape Shit Set,2967393,899.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/2967393,0xdd856b75701b7f79a2554e3fcc70603ef6feaa8b,0x7a205a4a5f1cc04cfa751b030322804a0eb42d33,0x76746696ed931d3fe6ae85995b18a89877a97a1798c85692747ad9ddefbe6ea7
2025-07-26 15:04:29,Alpha Ape Shit Set,1669897,255.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/1669897,0xa44a22c3e0eae7a54bd6dbbb15260751d9dcd084,0x54ae45bb82bea1411e9f211e3d3d7a4405a5642e,0x15960e5d3340553f11254802653783d0e93290cc619384afbba4fa09ee561555
2025-07-26 17:50:36,Alpha Ape Shit Set,2606613,250.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/2606613,0xbe306f0c1a3dd2026aaf05abc7bfcd29968d94a2,0x19dfe4f4af813dc8a22476bea1371e1f0180d93f,0xf5e102f77af98be9687d6d4b54b416eeec99344e5d548871eda71996a6a5d9c4
2025-07-27 13:20:03,Alpha Ape Shit Set,2730,245.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/2730,0xf044b361ad8eadffa19c5a639946563de113173c,0x9ce7da479710316b7fc3a6eaa6b7a93cdde538cf,0xf51bc3dd486fa4292058e75da4fd26bf2d7d5bbc0f46fb277d487315280ce7ed
2025-07-27 16:19:31,Alpha Ape Shit Set,1836675,199.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/1836675,0x9a238890e942fcec03493e6746958476be869189,0xbe1b9477c1ec4ac2ff918060084526b63d590336,0x5b79b1aa6376d0b09f5d0e87f47f1f5a5c92b058e0ba380e11f0b0ffc36d30c3
2025-07-27 23:07:15,Alpha Ape Shit Set,1634837,190.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/1634837,0x275991f0111c4dfd8c8f7a3feaee03bfe0383c94,0xe8c05b745cac8bbb018e8fd5409b94622de8cc96,0x2dcafaa5b1eac983df9c0d0a15da99eff575b30921f438f4b508dfcd8d7af84f
2025-07-29 14:17:26,Alpha Ape Shit Set,5242611,199.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/5242611,0x9a238890e942fcec03493e6746958476be869189,0x3102d08a397866308535fd6dbba1111f10f374b8,0x82ce13c054c37cc1a8173ad3fdbf3dbf864437250c1389e147f24dea7dc39095
2025-07-30 22:20:47,Alpha Ape Shit Set,1634837,248.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/1634837,0xe8c05b745cac8bbb018e8fd5409b94622de8cc96,0x9ce7da479710316b7fc3a6eaa6b7a93cdde538cf,0x4d27e1876abbec68a0e2a356b42a61bacb29535d1390b8d97a0a30a1ca2e93cf
2025-08-01 10:11:29,Alpha Ape Shit Set,1137181,150.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/1137181,0x9f76373846cbb6e2d19f2e8ec2adc1f8a58b01fa,0x6bc96008987df05ea54e88bff89446728168fffa,0x7f8c81943b67ca5128c57be820a0d312c8a5f17047477e7b59607ad3d6dac555
2025-08-06 18:39:31,Alpha Ape Shit Set,834730,255.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/834730,0x78469dbe390cf601289655ec1d197b35e52c7ca7,0xf8cfe3f4223d5574637adf41621c802672027fc6,0xfe98c69df2abc8b3b6b5d05c24ebc43ce5a9b24e6c9bb638996cdc3d65feca9c
