sale_date,name,token_id,price_gun,item_url
2025-07-25 06:05:04,CyberGoth Jetpack,176381,1000.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/176381
2025-07-25 20:28:24,CyberGoth Jetpack,2719691,299.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/2719691
2025-07-25 21:56:18,CyberGoth Jetpack,1016632,85.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/1016632
2025-07-25 23:52:44,CyberGoth Jetpack,1350120,899.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/1350120
2025-07-27 23:10:58,CyberGoth Jetpack,62109,500.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/62109
2025-07-28 09:18:21,CyberGoth Jetpack,1016632,500.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/1016632
2025-07-29 13:34:51,CyberGoth Jetpack,1291126,500.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/1291126
2025-07-30 15:44:27,CyberGoth Jetpack,2565199,599.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/2565199
2025-08-04 02:11:52,CyberGoth Jetpack,2876,611.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/2876
2025-08-05 09:02:16,CyberGoth Jetpack,1016632,700.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/1016632
2025-08-06 08:06:25,CyberGoth Jetpack,248009,390.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/248009
