sale_date,name,token_id,price_gun,item_url,seller,buyer,transaction_hash
2025-07-25 00:29:50,Kite Nebula,733075,89.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/733075,0xdd856b75701b7f79a2554e3fcc70603ef6feaa8b,0x18ffe0ef3ab518d59e29d672fddef0d0131578a0,0x722b43fc444fe9a4af9377f4cb75d7f4ede7ff7a08e4c367d0b801476a00907e
2025-07-25 17:23:12,Kite Nebula,5518444,200.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/5518444,0x52ae83a90375986d24351085a910b85c57b92a35,0x812c0b5d1c86f0730b1b3bc9ac19343d7adf8285,0xf58808635d91be02206f67fe652735058732209681f5beee392d0c2a2a6335ae
2025-07-28 21:54:42,Kite Nebula,6777384,299.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/6777384,0xa08707bedfde8d7d2f197b3643aaaa9bd733d3c6,0x8929b02ab271bd9d6289563fa0f37888d1f686ee,0x99bfab73fdb9ecbc33912573c7ab312570e28dee0a63d9a8e7d5ad4b042914d0
2025-08-02 00:21:34,Kite Nebula,6711207,40.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/6711207,0x78469dbe390cf601289655ec1d197b35e52c7ca7,0x45b6e9bb078a57565268d870855d3b92313f24c6,0x971d6cb5c8fcef5903ef16b3f7c862132716ed4829a25918fc195df512cdece6
2025-08-02 00:21:42,Kite Nebula,2176816,40.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/2176816,0x78469dbe390cf601289655ec1d197b35e52c7ca7,0x45b6e9bb078a57565268d870855d3b92313f24c6,0x751b723d7b91e680a50a930665f7f70fb7d29c0088f7824a41b58e7a77f49acf
2025-08-03 12:54:35,Kite Nebula,1039892,50.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/1039892,0x78469dbe390cf601289655ec1d197b35e52c7ca7,0x5026dd5803ab9dc26764aed2fac7002f2f7d2ed7,0xfa04b046ce67a5c67eac6169c50e3ca692d26b6a58ab968d0657a477ae4ddc67
2025-08-03 20:13:48,Kite Nebula,1289123,80.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/1289123,0x02b83d8a6f77e5f3e417a5cb3e9b6ec9a0c8f46c,0x1ae95b609339deebdedbe4fd8ce27e9b09248a7e,0x7294c925b298353bdd800c6acd2fa12bc85ddac9032553368c8e7f7fed658c29
2025-08-05 02:54:04,Kite Nebula,6111281,50.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/6111281,0x78469dbe390cf601289655ec1d197b35e52c7ca7,0x1e00b1aa2d0ce669879ef7e40d0985fe19f01329,0xa195b6a696bbaf4091126fbd9b9ec345b7a4d9c5df5e2b831eebc7add26e4c8b
2025-08-05 03:26:38,Kite Nebula,120034,49.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/120034,0x53979ad6fa5705509f2c11f69fa8fafcb841e6d9,0xd46be69b81e455b9b637d9997f2d7e3af40e8c72,0x89cf57aef4ca4bd04beb02b60ac63433bdd0e2c974788875591c733f1eec1ae1
2025-08-05 13:15:07,Kite Nebula,2176816,50.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/2176816,0x45b6e9bb078a57565268d870855d3b92313f24c6,0x7876eef574ce96080564838b9b2d21cc89c0d341,0xa9cf50c6c5a4beea73c7934732a258f299dda660444771fbdcc592439ebe9cdb
2025-08-05 17:02:41,Kite Nebula,120089,49.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/120089,0x53979ad6fa5705509f2c11f69fa8fafcb841e6d9,0xce5dc5d677298fd5bb78bdf0c1a0947da4c71dc4,0x5ee97db5f7472cf56ac8568b70346a733ba531900ce7d6001dd4e558120e06ca
2025-08-05 17:06:21,Kite Nebula,1347261,78.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/1347261,0x463dedf4b71cd7e94d661c359818f9cd2071991b,0xce5dc5d677298fd5bb78bdf0c1a0947da4c71dc4,0xafdc51b8b9ca90e44fb82a8aa705335b562b527a87c2de361f069cd4bfb98e50
2025-08-07 17:22:24,Kite Nebula,3906812,75.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/3906812,0x754d3b1cf7465018824e3fd4e198aca40c1d5f23,0xa1e6f65b1700fac8f2315a97c3779138294e2317,0xd52ab6de86f24e830f6f1ca276af3f5ffc68bcfd88d9a1f3009e9d94281944a3
2025-08-08 01:38:02,Kite Nebula,1017495,49.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/1017495,0x91109b6dbf893f28b3623ecd16f634a1f8d5b6f5,0xa1e6f65b1700fac8f2315a97c3779138294e2317,0x1589ae1beae41f7e3f6cf4fe90856e5be5fe0dfb39dd4b86e2898ebd6aa98008
