sale_date,name,token_id,price_gun,rarity,seller,buyer,item_url,image_url,transaction_hash
2025-08-01 17:30:34,Kelowna,4925877,14.0,Epic,0xef4e7d18b0ce2c1c1f5f83385d1d7aee6de57e8f,0x2d94ba99c06a6a4a4571f7918e4af161b9255115,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/4925877,https://cdne-g01-livepc-wu-itemsthumbnails.azureedge.net/ExportedAssets/Weapon_Weapon_SA03_S01_Exotic_hd.png,0xa7e356475b715b9b077f4add9619dbbc2ee627b9804d75f96d53389fa83bf6d6
2025-08-01 17:30:34,Kelowna,4976581,14.0,Epic,0xef4e7d18b0ce2c1c1f5f83385d1d7aee6de57e8f,0x2d94ba99c06a6a4a4571f7918e4af161b9255115,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/4976581,https://cdne-g01-livepc-wu-itemsthumbnails.azureedge.net/ExportedAssets/Weapon_Weapon_SA03_S01_Exotic_hd.png,0xa7e356475b715b9b077f4add9619dbbc2ee627b9804d75f96d53389fa83bf6d6
2025-08-01 21:59:14,Kelowna,114502,50.0,Epic,0x06c8485604bbb06c8ae2e5b8e2f2b649671c0dc5,0x72527cd7d2e99e4bc001aa98047988c9ea4e6af7,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/114502,https://cdne-g01-livepc-wu-itemsthumbnails.azureedge.net/ExportedAssets/Weapon_Weapon_SA03_S01_Exotic_hd.png,0x817509f01040256e07fbea1f7340d0da00b1c71ac86a4f4e0e21f3ada0da9a5f
2025-08-03 09:05:22,Kelowna,7030275,30.0,Epic,0xd6f900b18a8362ed4becaceb031abd245ac89a68,0xd185ef0b21ef95d21461a908099d689952ea7e5c,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/7030275,https://cdne-g01-livepc-wu-itemsthumbnails.azureedge.net/ExportedAssets/Weapon_Weapon_SA03_S01_Exotic_hd.png,0xcfa01f12750f6f5406bf7535db8392783eaa2fe8d1aa176f1db9b37c51e88cb8
2025-08-07 21:46:45,Kelowna,115814,50.0,Epic,0x06c8485604bbb06c8ae2e5b8e2f2b649671c0dc5,0x754d3b1cf7465018824e3fd4e198aca40c1d5f23,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/115814,https://cdne-g01-livepc-wu-itemsthumbnails.azureedge.net/ExportedAssets/Weapon_Weapon_SA03_S01_Exotic_hd.png,0x7b7fe855850708589334f38a44f14275a831c8929875105e6281bc74dcd169a0
2025-08-07 21:46:45,Kelowna,116168,50.0,Epic,0x06c8485604bbb06c8ae2e5b8e2f2b649671c0dc5,0x754d3b1cf7465018824e3fd4e198aca40c1d5f23,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/116168,https://cdne-g01-livepc-wu-itemsthumbnails.azureedge.net/ExportedAssets/Weapon_Weapon_SA03_S01_Exotic_hd.png,0x7b7fe855850708589334f38a44f14275a831c8929875105e6281bc74dcd169a0
2025-08-07 21:46:45,Kelowna,114186,50.0,Epic,0x06c8485604bbb06c8ae2e5b8e2f2b649671c0dc5,0x754d3b1cf7465018824e3fd4e198aca40c1d5f23,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/114186,https://cdne-g01-livepc-wu-itemsthumbnails.azureedge.net/ExportedAssets/Weapon_Weapon_SA03_S01_Exotic_hd.png,0x7b7fe855850708589334f38a44f14275a831c8929875105e6281bc74dcd169a0
2025-08-07 21:46:45,Kelowna,116133,50.0,Epic,0x06c8485604bbb06c8ae2e5b8e2f2b649671c0dc5,0x754d3b1cf7465018824e3fd4e198aca40c1d5f23,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/116133,https://cdne-g01-livepc-wu-itemsthumbnails.azureedge.net/ExportedAssets/Weapon_Weapon_SA03_S01_Exotic_hd.png,0x7b7fe855850708589334f38a44f14275a831c8929875105e6281bc74dcd169a0
2025-08-07 21:46:45,Kelowna,116809,50.0,Epic,0x06c8485604bbb06c8ae2e5b8e2f2b649671c0dc5,0x754d3b1cf7465018824e3fd4e198aca40c1d5f23,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/116809,https://cdne-g01-livepc-wu-itemsthumbnails.azureedge.net/ExportedAssets/Weapon_Weapon_SA03_S01_Exotic_hd.png,0x7b7fe855850708589334f38a44f14275a831c8929875105e6281bc74dcd169a0
2025-08-07 22:43:35,Kelowna,114439,50.0,Epic,0x06c8485604bbb06c8ae2e5b8e2f2b649671c0dc5,0x754d3b1cf7465018824e3fd4e198aca40c1d5f23,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/114439,https://cdne-g01-livepc-wu-itemsthumbnails.azureedge.net/ExportedAssets/Weapon_Weapon_SA03_S01_Exotic_hd.png,0x84dc49727edfebca6d5d278df6d70cdbdec60f699236064ba691a4e851dae945
