sale_date,name,token_id,price_gun,item_url,seller,buyer,transaction_hash
2025-07-25 03:40:26,GHOST,6726432,48.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/6726432,0x275991f0111c4dfd8c8f7a3feaee03bfe0383c94,0x956edda16ab5c61db10ab0951e867a42d39f5b74,0x13dfa7c7d9c151c2e838586f1acf3c5ecfdc78a97d4372194f20f08032fd4339
2025-07-25 20:48:09,GHOST,1770859,54.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/1770859,0xaf82c2e038c1df2f9b9437b756798460b31567ee,0x4bb12cc382e36b4b6faf7bdca7708969aed258ef,0x357a3e16619a5d85362bf7bd50dcae3c7a7b802bab008025417bb0f945172214
2025-07-26 12:41:05,GHOST,6792327,11.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/6792327,0x08bfea042f02443ed16f9b8e100f7ea66b9d8e3e,0x4033a25afa12cc32ba15dea01f879be4c988411a,0x9a1d1f36100e675602fec8b7e9e1870536dde43d4ed54f550161e034a2e6d2e1
2025-07-28 23:33:28,GHOST,4557485,28.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/4557485,0x7168af809b653152c3fafc9d92e901f34ce1a890,0x58ef6e9f01993866588d0b2b563ae28c67db8d4e,0x19890b14b4366842976d266593ccc3ad7ebe1db87e8364256a1aa96b99fe6122
2025-08-01 14:43:28,GHOST,1349271,10.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/1349271,0x463dedf4b71cd7e94d661c359818f9cd2071991b,0x69e2912f12bcf2b1545bdde7798552bbda40b7d3,0xbb0192834c9d106c15868eeb7c69d9e5415657fb760c1c3ddae02ff7071f0cf9
2025-08-05 03:59:03,GHOST,121561,14.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/121561,0xca15d3e7099f8ced12b1cdf6b9b1b2cf80d9c3fb,0x4e96665ffe743bc110121514043470a4a5b70fbb,0xd9c86ce4ebc392b7ce954f10710b5e38b4db4f8ad017c189833c749db58298f6
2025-08-05 04:19:15,GHOST,121561,14.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/121561,0x4e96665ffe743bc110121514043470a4a5b70fbb,0xebd7c2304bc24fbea83dfd61e95ea24e00c46530,0xbf3af3d6f3369b8d02ae50e63c82bbfa42e0934a631be16e6ee2c7043fe33b92
2025-08-05 06:29:31,GHOST,121561,12.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/121561,0xebd7c2304bc24fbea83dfd61e95ea24e00c46530,0x37831cb2db2e74853ec8821b032d8a9ce85b2756,0x5509a1d36b95814e207ad6f7934e7c50f6036c9b22593351e127e738be2f47ff
2025-08-05 09:15:23,GHOST,121561,12.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/121561,0x37831cb2db2e74853ec8821b032d8a9ce85b2756,0xb4ef4e75a1613f7dfac065d6b49305c591fe6b8b,0xfbbf16741c19771fbe1612eff2831e6dddc93f4f3e72480c6456c9977f180021
2025-08-06 02:55:41,GHOST,121561,11.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/121561,0xb4ef4e75a1613f7dfac065d6b49305c591fe6b8b,0x812ebfbfb7b8fdbf877854242bf1e2258cedbcd5,0x29696044b4a455908104ea37f1c0b77e7dfe5b54de2afc53d4a6ef9723d06537
2025-08-06 06:38:16,GHOST,121561,16.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/121561,0x812ebfbfb7b8fdbf877854242bf1e2258cedbcd5,0x0928c6499e927f5d60a584c3abb00cbc7fcefe2c,0xc5b3fb294b41ab24665b5e19f61db1733661e9183b3240b6f472a0d26ca9200e
2025-08-06 07:18:34,GHOST,121561,15.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/121561,0x0928c6499e927f5d60a584c3abb00cbc7fcefe2c,0xafdb68782065cc2d74c23faad73749ce4a8c1a3d,0x56673351199a01ed16d278b599a11f31717b9ca69765dda47822716bf2ed8aa4
2025-08-06 08:39:38,GHOST,121561,11.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/121561,0xafdb68782065cc2d74c23faad73749ce4a8c1a3d,0xe20d41f76200253cc3459b55a0feb832e8714744,0x728dda587e8f04a3ef9717003156e92b7010a852d6847cc88f99becb47970b49
2025-08-06 20:57:23,GHOST,6075462,23.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/6075462,0xd855a0ac9d3148790e70f8ce371656083b3a6767,0x754d3b1cf7465018824e3fd4e198aca40c1d5f23,0x93d4e2420d95b5b7ab677fe4db46758ae33d1270f095f41f7fc712a53cc50635
2025-08-07 02:04:45,GHOST,121561,15.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/121561,0xe20d41f76200253cc3459b55a0feb832e8714744,0x3542973b1e0c3dcdc9cb9d19129a35b9fd914dd2,0x2c9447919d5e35e6b9ae4aa913e4a49fbf1306a7cc3614e408edf25aca03173c
2025-08-07 02:18:57,GHOST,121561,12.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/121561,0x3542973b1e0c3dcdc9cb9d19129a35b9fd914dd2,0x3ea3a29e59623f72db0fe25ddf682efd443eb9e7,0x6fab0f8514b92310fefce7d96122d3d97a99e4cf37ea44e0a85748bc5e549923
2025-08-07 02:37:58,GHOST,121561,13.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/121561,0x3ea3a29e59623f72db0fe25ddf682efd443eb9e7,0x93e66a85398e1c43dc4670ccdb78e6157af83469,0x8d0493a40c6188860de5a741e40edadafe6d120abb09aa914d53435a2d5e435d
2025-08-07 11:28:03,GHOST,5703686,25.0,https://opensea.io/assets/gunzilla/0x9ed98e159be43a8d42b64053831fcae5e4d7d271/5703686,0xae418bf1b299039adcaf2db8cf9ccca599965005,0x754d3b1cf7465018824e3fd4e198aca40c1d5f23,0x82b00ee0544ea3ea57207ff0ff89d7f2e7e21019a205ecbd20effeb3de98116e
